#HEADER
#TITLES
 , ,D-LX1Q
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
844,7758.682000,-8.559932
845,7758.683000,-8.604605
846,7758.684000,-8.607882
847,7758.685000,-8.494321
848,7758.686000,-8.450127
849,7758.687000,-8.56264
850,7758.688000,-8.575322
851,7758.689000,-8.526417
852,7758.690000,-8.554117
853,7758.691000,-8.638386
854,7758.692000,-8.559878
855,7758.693000,-8.506578
856,7758.694000,-8.479502
857,7758.695000,-8.510777
858,7758.696000,-8.481291
859,7758.697000,-8.449394
860,7758.698000,-8.581488
861,7758.699000,-8.508785
862,7758.700000,-8.509352
863,7758.701000,-8.548852
864,7758.702000,-8.522018
865,7758.703000,-8.480938
866,7758.704000,-8.458104
867,7758.705000,-8.5009
868,7758.706000,-8.563199
869,7758.707000,-8.480103
870,7758.708000,-8.512599
871,7758.709000,-8.582733
872,7758.710000,-8.462881
873,7758.711000,-8.434222
874,7758.712000,-8.604521
875,7758.713000,-8.465391
876,7758.714000,-8.473644
877,7758.715000,-8.511024
878,7758.716000,-8.505718
879,7758.717000,-8.564016
880,7758.718000,-8.538237
881,7758.719000,-8.418601
882,7758.720000,-8.406171
883,7758.721000,-8.479495
884,7758.722000,-8.644565
885,7758.723000,-8.579027
886,7758.724000,-8.394885
887,7758.725000,-8.500862
888,7758.726000,-8.520494
889,7758.727000,-8.476788
890,7758.728000,-8.488153
891,7758.729000,-8.493013
892,7758.730000,-8.493542
893,7758.731000,-8.489144
894,7758.732000,-8.48411
895,7758.733000,-8.479489
896,7758.734000,-8.477621
897,7758.735000,-8.456427
898,7758.736000,-8.47207
899,7758.737000,-8.421495
900,7758.738000,-8.458722
901,7758.739000,-8.493031
902,7758.740000,-8.392884
903,7758.741000,-8.37469
904,7758.742000,-8.485823
905,7758.743000,-8.301288
906,7758.744000,-8.355337
907,7758.745000,-8.483829
908,7758.746000,-8.423809
909,7758.747000,-8.528543
910,7758.748000,-8.462457
911,7758.749000,-8.311114
