DATE,DEXTAUS
2011-02-25,29.7400
2011-02-28,29.7400
2011-03-01,29.5400
2011-03-02,29.6300
2011-03-03,29.4700
2011-03-04,29.3600
2011-03-07,29.3500
2011-03-08,29.4200
2011-03-09,29.3500
2011-03-10,29.4600
2011-03-11,29.5600
2011-03-14,29.4800
2011-03-15,29.5400
2011-03-16,29.5300
2011-03-17,29.5500
2011-03-18,29.5900
2011-03-21,29.5600
2011-03-22,29.5600
2011-03-23,29.5700
2011-03-24,29.5700
2011-03-25,29.4300
2011-03-28,29.4800
2011-03-29,29.4700
2011-03-30,29.4700
2011-03-31,29.4000
2011-04-01,29.2500
2011-04-04,29.2400
2011-04-05,29.3100
2011-04-06,28.9900
2011-04-07,28.9400
2011-04-08,28.9200
2011-04-11,28.9800
2011-04-12,29.0800
2011-04-13,29.0000
2011-04-14,29.0000
2011-04-15,29.0400
2011-04-18,29.0800
2011-04-19,29.0700
2011-04-20,29.0000
2011-04-21,28.8500
2011-04-22,28.8800
2011-04-25,28.8900
2011-04-26,28.9000
2011-04-27,28.8600
2011-04-28,28.6800
2011-04-29,28.6700
2011-05-02,28.6700
2011-05-03,28.5600
2011-05-04,28.5600
2011-05-05,28.6200
2011-05-06,28.6000
2011-05-09,28.6100
2011-05-10,28.5900
2011-05-11,28.5000
2011-05-12,28.5800
2011-05-13,28.6400
2011-05-16,28.8000
2011-05-17,28.8400
2011-05-18,28.8400
2011-05-19,28.8200
2011-05-20,28.8100
2011-05-23,28.9000
2011-05-24,28.9200
2011-05-25,28.9900
2011-05-26,28.8900
2011-05-27,28.8700
2011-05-30,.
2011-05-31,28.6400
2011-06-01,28.5800
2011-06-02,28.7700
2011-06-03,28.6600
2011-06-06,28.6200
2011-06-07,28.7200
2011-06-08,28.7100
2011-06-09,28.7100
2011-06-10,28.7800
2011-06-13,28.8200
2011-06-14,28.8400
2011-06-15,28.8200
2011-06-16,28.9200
2011-06-17,28.9900
2011-06-20,28.9500
2011-06-21,28.8600
2011-06-22,28.8400
2011-06-23,28.8600
2011-06-24,28.8800
2011-06-27,28.9400
2011-06-28,28.9000
2011-06-29,28.9000
2011-06-30,28.7900
2011-07-01,28.7500
2011-07-04,.
2011-07-05,28.7700
2011-07-06,28.8300
2011-07-07,28.8100
2011-07-08,28.7500
2011-07-11,28.8200
2011-07-12,28.9100
2011-07-13,28.8700
2011-07-14,28.8100
2011-07-15,28.8700
2011-07-18,28.9300
2011-07-19,28.8800
2011-07-20,28.8600
2011-07-21,28.8800
2011-07-22,28.8100
2011-07-25,28.8500
2011-07-26,28.8200
2011-07-27,28.7700
2011-07-28,28.8300
2011-07-29,28.8800
2011-08-01,28.8000
2011-08-02,28.8600
2011-08-03,28.9200
2011-08-04,28.9400
2011-08-05,29.0100
2011-08-08,28.9800
2011-08-09,29.0200
2011-08-10,28.9500
2011-08-11,28.9800
2011-08-12,28.9700
2011-08-15,28.9400
2011-08-16,28.9200
2011-08-17,28.9500
2011-08-18,28.9700
2011-08-19,29.0000
2011-08-22,29.0100
2011-08-23,28.9600
2011-08-24,29.0100
2011-08-25,29.0000
2011-08-26,29.0300
2011-08-29,29.0200
2011-08-30,29.0200
